Id,GameURL,Critic,Score,ReviewDate
3154,http://www.metacritic.com/game/wii/5-arcade-gems,"Games Master UK",20,NULL
3155,http://www.metacritic.com/game/ios/1000-heroz-hd,TouchArcade,80,2011-07-05
3159,http://www.metacritic.com/game/playstation/battle-arena-toshinden,Thunderbolt,60,NULL
3168,http://www.metacritic.com/game/dreamcast/championship-surfer,IGN,34,NULL
3181,http://www.metacritic.com/game/wii-u/armillo,Gameblog.fr,50,2014-07-10
3192,http://www.metacritic.com/game/game-boy-advance/atomic-betty,Nintendophiles,25,NULL
3206,http://www.metacritic.com/game/nintendo-64/diddy-kong-racing,GameSpot,66,NULL
3213,http://www.metacritic.com/game/3ds/3d-classics-urban-champion,Modojo,20,2011-08-22
3270,http://www.metacritic.com/game/playstation-2/ace-combat-5-the-unsung-war,"Times Online",60,NULL
3271,http://www.metacritic.com/game/ds/40-in-1-explosive-megamix,"Nintendo Life",30,2012-01-22
3273,http://www.metacritic.com/game/psp/afl-challenge,PALGN,10,NULL
3286,http://www.metacritic.com/game/xbox-360/3d-ultra-minigolf-adventures,GamesRadar+,50,NULL
3324,http://www.metacritic.com/game/playstation-3/50-cent-blood-on-the-sand,"The A.V. Club",50,NULL
3345,http://www.metacritic.com/game/xbox/aliens-versus-predator-extinction,"Yahoo! Games",40,NULL
3363,http://www.metacritic.com/game/playstation-4/akibas-trip-undead-undressed,"PlayStation LifeStyle",25,2014-11-27
3372,http://www.metacritic.com/game/dreamcast/charge-n-blast,AllDreamcast,35,NULL
3375,http://www.metacritic.com/game/wii-u/arrow-time-u,"Nintendo Life",20,2014-10-27
3378,http://www.metacritic.com/game/playstation/big-bass-fishing,"Official U.S. Playstation Magazine",10,NULL
3379,http://www.metacritic.com/game/ds/5-in-1-mahjong,"Nintendo Life",60,2011-03-17
3384,http://www.metacritic.com/game/gamecube/backyard-baseball,"All Game Guide",50,NULL
3389,http://www.metacritic.com/game/wii/5-spots-party,IGN,50,NULL
3400,http://www.metacritic.com/game/ios/10000000,"Quarter to Three",40,2012-08-03
3406,http://www.metacritic.com/game/game-boy-advance/atv-quad-power-racing,Nintendophiles,25,NULL
3418,http://www.metacritic.com/game/nintendo-64/disneys-donald-duck-goin-quackers,"Games Radar",0,NULL
3421,http://www.metacritic.com/game/3ds/3d-classics-xevious,"Nintendo Gamer",20,2011-09-06
